sentence,label
"]]]A hacktivist is a hacker who utilizes technology to publicize a social, ideological, religious or political message",1
Hacktivism can be divided into two main groups:Intelligence agencies and cyberwarfare operatives of nation states,1
]Groups of hackers that carry out organized criminal activities for profit,1
]  Modern-day computer hackers have been compared to the privateers of by-gone days,1
]Hackers can usually be sorted into two types of attacks: mass attacks and targeted attacks,1
These are very common in Web site and Web domain hacking,1
Writing software and performing other activities to support these views is referred to as hacktivism,1
] It is common for hackers to use aliases to conceal their identities,1
"The computer underground is supported by regular real-world gatherings called hacker conventions or ""hacker cons""",1
"These events include SummerCon (Summer), DEF CON, HoHoCon (Christmas), ShmooCon (February), BlackHat, Chaos Communication Congress, AthCon, Hacker Halted, and HOPE",1
"[citation needed] Local Hackfest groups organize and compete to develop their skills to send a team to a prominent convention to compete in group pentesting, exploit and forensics on a larger scale",1
"Hacker groups became popular in the early 1980s, providing access to hacking information and resources and a place to learn from other members",1
Hackers could also gain credibility by being affiliated with elite groups,1
"]The most notable hacker-oriented print publications are Phrack, Hakin9 and 2600: The Hacker Quarterly",1
"While the information contained in hacker magazines and ezines was often outdated by the time they were published, they enhanced their contributors' reputations by documenting their successes",1
]Hackers often show an interest in fictional cyberpunk and cyberculture literature and movies,1
